Tournament;Date;Series;Surface;Round;Winner;Loser;WRank;LRank;WPts;LPts;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;B365W;B365L;EXW;EXL;LBW;LBL;PSW;PSL;SJW;SJL
Open Romania;23/09/2010;ATP250;Clay;2nd Round;Granollers M.;Volandri F.;87;97;611;566;4;6;7;5;6;1;;;;;2;1;1,57;2,25;1,65;2,15;1,67;2,1;1,76;2,22;1,57;2,25
Open Romania;23/09/2010;ATP250;Clay;2nd Round;Starace P.;Crivoi V.;50;184;915;272;4;6;7;6;6;4;;;;;2;1;1,25;3,75;1,26;3,65;1,3;3,4;1,29;4,04;1,29;3,25
Open Romania;24/09/2010;ATP250;Clay;Quarterfinals;Chela J.I.;Phau B.;53;100;901;532;6;3;6;3;;;;;;;2;0;1,14;5;1,15;5;1,17;4,5;1,19;5,57;1,17;5
Open Romania;24/09/2010;ATP250;Clay;Quarterfinals;Andujar P.;Cuevas P.;104;70;510;705;6;4;6;4;;;;;;;2;0;3,25;1,33;3,7;1,25;3;1,36;3,82;1,32;3,25;1,33
Open Romania;24/09/2010;ATP250;Clay;Quarterfinals;Granollers M.;Starace P.;87;50;611;915;3;6;7;6;6;4;;;;;2;1;2,37;1,53;2,25;1,6;2,38;1,53;2,63;1,56;2,38;1,57
Open Romania;24/09/2010;ATP250;Clay;Quarterfinals;Montanes A.;Chardy J.;22;59;1770;820;6;3;1;6;6;3;;;;;2;1;1,57;2,25;1,65;2,15;1,62;2,2;1,74;2,25;1,62;2,25
Open Romania;25/09/2010;ATP250;Clay;Semifinals;Chela J.I.;Montanes A.;53;22;901;1770;6;1;6;3;;;;;;;2;0;2,37;1,53;2,35;1,55;2,25;1,57;2,29;1,71;2,2;1,67
Open Romania;25/09/2010;ATP250;Clay;Semifinals;Andujar P.;Granollers M.;104;87;510;611;7;6;4;6;6;4;;;;;2;1;2,37;1,53;2,25;1,6;2,38;1,53;2,42;1,65;2,2;1,67
Open Romania;26/09/2010;ATP250;Clay;The Final;Chela J.I.;Andujar P.;53;104;901;510;7;5;6;1;;;;;;;2;0;1,2;4,5;1,2;4,25;1,2;4,33;1,25;4,56;1,2;4,5
Open de Moselle;20/09/2010;ATP250;Hard;1st Round;Berrer M.;Schuettler R.;49;90;917;605;7;6;6;2;;;;;;;2;0;1,61;2,2;1,65;2,2;1,62;2,2;1,73;2,26;1,62;2,2
Open de Moselle;20/09/2010;ATP250;Hard;1st Round;Robredo T.;Brands D.;40;80;1075;641;6;1;7;6;;;;;;;2;0;1,3;3,4;1,35;3;1,36;3;1,36;3,5;1,29;3,25
Open de Moselle;20/09/2010;ATP250;Hard;1st Round;Istomin D.;Serra F.;42;71;1051;700;6;4;6;4;;;;;;;2;0;1,4;2,75;1,45;2,6;1,44;2,63;1,55;2,66;1,44;2,63
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Malisse X.;Roger-Vasselin E.;55;105;898;505;7;6;6;4;;;;;;;2;0;1,53;2,37;1,5;2,5;1,5;2,5;1,61;2,52;1,4;2,75
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Nieminen J.;Becker B.;62;65;795;737;6;3;7;6;;;;;;;2;0;1,8;1,9;2;1,75;1,83;1,83;1,84;2,1;1,83;1,83
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Zverev M.;Zeballos H.;155;72;315;690;6;3;6;2;;;;;;;2;0;1,72;2;1,8;1,95;1,83;1,83;1,77;2,2;1,83;1,83
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Mathieu P.H.;Mannarino A.;96;136;574;388;6;3;6;3;;;;;;;2;0;1,4;2,75;1,45;2,6;1,44;2,63;1,49;2,89;1,44;2,63
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Simon G.;Brown D.;41;118;1055;472;6;3;6;4;;;;;;;2;0;1,11;6;1,17;4,65;1,17;4,5;1,15;6,77;1,14;5
Open de Moselle;21/09/2010;ATP250;Hard;1st Round;Kohlschreiber P.;Fabbiano T.;31;339;1275;116;6;4;6;3;;;;;;;2;0;1,08;7;1,15;5;1,13;5,5;1,11;8;1,14;5
Open de Moselle;22/09/2010;ATP250;Hard;1st Round;Vliegen K.;Del Bonis F.;307;148;139;329;6;2;4;6;6;3;;;;;2;1;1,57;2,25;1,55;2,35;1,57;2,25;1,7;2,31;;
Open de Moselle;22/09/2010;ATP250;Hard;1st Round;Sijsling I.;Ascione T.;159;238;304;199;6;4;6;4;;;;;;;2;0;1,4;2,75;1,55;2,35;1,57;2,25;1,52;2,78;1,5;2,5
Open de Moselle;22/09/2010;ATP250;Hard;1st Round;Lacko L.;Clement A.;75;60;680;806;6;4;6;2;;;;;;;2;0;2,1;1,66;1,95;1,8;1,83;1,83;2,38;1,67;2;1,73
Open de Moselle;22/09/2010;ATP250;Hard;2nd Round;Robredo T.;Istomin D.;40;42;1075;1051;6;4;6;2;;;;;;;2;0;2,2;1,61;2;1,75;2;1,73;2,19;1,78;2,1;1,67
Open de Moselle;22/09/2010;ATP250;Hard;2nd Round;Gasquet R.;Mathieu P.H.;30;96;1305;574;4;6;7;6;7;6;;;;;2;1;1,4;2,75;1,45;2,6;1,4;2,75;1,53;2,74;1,4;2,75
Open de Moselle;22/09/2010;ATP250;Hard;2nd Round;Kohlschreiber P.;Berrer M.;31;49;1275;917;6;4;6;2;;;;;;;2;0;1,4;2,75;1,4;2,8;1,4;2,75;1,34;3,62;;
Open de Moselle;23/09/2010;ATP250;Hard;2nd Round;Malisse X.;Ljubicic I.;55;17;898;2120;7;5;6;2;;;;;;;2;0;1,66;2,1;1,7;2,1;1,73;2;1,8;2,15;1,67;2,1
Open de Moselle;23/09/2010;ATP250;Hard;2nd Round;Nieminen J.;Vliegen K.;62;307;795;139;6;4;6;1;;;;;;;2;0;1,28;3,5;1,33;3,1;1,33;3,25;1,36;3,5;1,33;3
Open de Moselle;23/09/2010;ATP250;Hard;2nd Round;Simon G.;Sijsling I.;41;159;1055;304;6;1;6;7;6;3;;;;;2;1;1,1;6,5;1,11;6;1,11;6;1,15;6,68;1,07;7
Open de Moselle;23/09/2010;ATP250;Hard;2nd Round;Cilic M.;Lacko L.;14;75;2540;680;7;5;7;6;;;;;;;2;0;1,25;3,75;1,3;3,3;1,25;3,75;1,28;4,18;1,25;3,5
Open de Moselle;23/09/2010;ATP250;Hard;2nd Round;Zverev M.;Mahut N.;155;158;315;305;6;4;6;2;;;;;;;2;0;2,2;1,61;2,1;1,7;2,1;1,67;2,09;1,85;2,1;1,67
Open de Moselle;24/09/2010;ATP250;Hard;Quarterfinals;Simon G.;Malisse X.;41;55;1055;898;7;5;4;6;6;1;;;;;2;1;1,5;2,5;1,45;2,65;1,57;2,25;1,55;2,66;1,53;2,5
Open de Moselle;24/09/2010;ATP250;Hard;Quarterfinals;Zverev M.;Nieminen J.;155;62;315;795;7;6;6;3;;;;;;;2;0;2,25;1,57;2,25;1,6;2,5;1,5;2,36;1,68;2,25;1,62
Open de Moselle;24/09/2010;ATP250;Hard;Quarterfinals;Kohlschreiber P.;Cilic M.;31;14;1275;2540;6;4;6;1;;;;;;;2;0;2,62;1,44;2,35;1,55;2,25;1,57;2,55;1,6;2,38;1,57
Open de Moselle;24/09/2010;ATP250;Hard;Quarterfinals;Gasquet R.;Robredo T.;30;40;1305;1075;7;6;7;6;;;;;;;2;0;1,44;2,62;1,55;2,35;1,53;2,38;1,52;2,78;1,62;2,25
Open de Moselle;25/09/2010;ATP250;Hard;Semifinals;Simon G.;Kohlschreiber P.;41;31;1055;1275;6;3;6;2;;;;;;;2;0;1,72;2;1,8;1,95;1,67;2,1;1,85;2,08;1,73;2,1
Open de Moselle;25/09/2010;ATP250;Hard;Semifinals;Zverev M.;Gasquet R.;155;30;315;1305;;;;;;;;;;;;;4,5;1,16;4,25;1,2;4,33;1,2;4,35;1,27;4;1,22
Open de Moselle;26/09/2010;ATP250;Hard;The Final;Simon G.;Zverev M.;41;155;1055;315;6;3;6;2;;;;;;;2;0;1,2;4,5;1,16;4,75;1,17;4,5;1,23;4,88;1,17;5
Thailand Open;27/09/2010;ATP250;Hard;1st Round;Serra F.;Gabashvili T.;70;99;700;565;6;7;6;4;6;4;;;;;2;1;1,72;2;1,8;1,95;1,83;1,83;1,85;2,09;1,83;1,83
Thailand Open;27/09/2010;ATP250;Hard;1st Round;Brands D.;Marchenko I.;81;74;641;686;6;3;6;4;;;;;;;2;0;2,5;1,5;2,35;1,55;2,25;1,57;2,52;1,61;2,38;1,53
Thailand Open;27/09/2010;ATP250;Hard;1st Round;De Bakker T.;Lopez M.;47;729;973;20;7;5;6;0;;;;;;;2;0;1,06;8;1,1;6,5;1,08;7;1,08;11;1,08;6,5
Thailand Open;27/09/2010;ATP250;Hard;1st Round;Troicki V.;Chiudinelli M.;48;68;945;717;6;3;6;1;;;;;;;2;0;1,28;3,5;1,3;3,3;1,25;3,75;1,35;3,57;1,25;3,5
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Kukushkin M.;Deheart R.;83;270;628;168;6;3;6;7;6;4;;;;;2;1;1,33;3,25;1,35;3;1,36;3;1,39;3,34;1,36;2,88
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Sela D.;Kravchuk K.;85;134;623;416;6;3;6;4;;;;;;;2;0;1,44;2,62;1,4;2,8;1,4;2,75;1,57;2,61;1,4;2,75
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Schuettler R.;Mello R.;90;80;605;645;6;4;6;2;;;;;;;2;0;1,66;2,1;1,72;2,05;1,67;2,1;1,8;2,14;1,67;2,1
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Bemelmans R.;Nielsen F.;195;279;258;161;6;2;6;3;;;;;;;2;0;1,57;2,25;1,55;2,35;1,57;2,25;1,63;2,46;1,5;2,5
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Nieminen J.;Udomchoke D.;60;686;820;26;6;3;6;2;;;;;;;2;0;1,2;4,33;1,25;3,7;1,29;3,5;1,26;4,44;1,29;3,25
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Garcia-Lopez G.;Berrer M.;53;51;900;917;6;4;7;6;;;;;;;2;0;1,83;1,83;1,9;1,85;1,83;1,83;2,02;1,91;1,73;2
Thailand Open;28/09/2010;ATP250;Hard;1st Round;Rochus O.;Del Potro J.M.;78;36;665;1170;7;6;6;4;;;;;;;2;0;2,75;1,4;2,8;1,4;2,5;1,5;2,84;1,5;2,63;1,44
Thailand Open;29/09/2010;ATP250;Hard;1st Round;Becker B.;Zverev M.;65;115;737;477;6;1;6;4;;;;;;;2;0;1,57;2,25;1,55;2,35;1,53;2,38;1,69;2,33;1,5;2,5
Thailand Open;29/09/2010;ATP250;Hard;2nd Round;Garcia-Lopez G.;Serra F.;53;70;900;700;7;5;6;7;7;5;;;;;2;1;1,66;2,1;1,75;2;1,62;2,2;1,71;2,29;1,62;2,2
Thailand Open;29/09/2010;ATP250;Hard;2nd Round;Melzer J.;Sela D.;13;85;2605;623;6;3;6;4;;;;;;;2;0;1,2;4,33;1,25;3,75;1,2;4,33;1,28;4,23;1,2;4
Thailand Open;29/09/2010;ATP250;Hard;2nd Round;Gulbis E.;Schuettler R.;25;90;1515;605;7;6;6;7;6;4;;;;;2;1;1,25;3,75;1,3;3,3;1,29;3,5;1,31;3,92;1,29;3,25
Thailand Open;29/09/2010;ATP250;Hard;2nd Round;Brands D.;De Bakker T.;81;47;641;973;7;6;1;6;7;6;;;;;2;1;3,25;1,33;3,3;1,3;3,25;1,33;3,34;1,39;3,25;1,29
Thailand Open;30/09/2010;ATP250;Hard;2nd Round;Nieminen J.;Troicki V.;60;48;820;945;7;6;6;2;;;;;;;2;0;3,25;1,33;3;1,35;3;1,36;3,21;1,41;3;1,33
Thailand Open;30/09/2010;ATP250;Hard;2nd Round;Becker B.;Verdasco F.;65;8;737;3330;6;4;6;4;;;;;;;2;0;3,75;1,25;3,75;1,25;4;1,22;3,6;1,35;4;1,2
Thailand Open;30/09/2010;ATP250;Hard;2nd Round;Nadal R.;Bemelmans R.;1;195;12025;258;6;1;6;4;;;;;;;2;0;1,005;21;1,01;15;1,01;17;1,02;31;1,02;13
Thailand Open;30/09/2010;ATP250;Hard;2nd Round;Kukushkin M.;Rochus O.;83;78;628;665;6;4;5;7;6;3;;;;;2;1;2,2;1,61;2,25;1,6;2,1;1,67;2,36;1,68;2,1;1,67
Thailand Open;01/10/2010;ATP250;Hard;Quarterfinals;Nieminen J.;Melzer J.;60;13;820;2605;6;3;7;6;;;;;;;2;0;3,5;1,28;3;1,35;3;1,36;3,71;1,33;3,25;1,33
Thailand Open;01/10/2010;ATP250;Hard;Quarterfinals;Becker B.;Brands D.;65;81;737;641;6;4;6;2;;;;;;;2;0;1,44;2,62;1,5;2,45;1,5;2,5;1,5;2,83;1,57;2,38
Thailand Open;01/10/2010;ATP250;Hard;Quarterfinals;Nadal R.;Kukushkin M.;1;83;12025;628;6;2;6;3;;;;;;;2;0;1,01;13;1,01;15;1,02;11;1,03;19;1,04;9
Thailand Open;01/10/2010;ATP250;Hard;Quarterfinals;Garcia-Lopez G.;Gulbis E.;53;25;900;1515;7;6;4;6;6;3;;;;;2;1;3,5;1,28;3,25;1,3;3,25;1,33;3,65;1,34;3,5;1,29
Thailand Open;02/10/2010;ATP250;Hard;Semifinals;Nieminen J.;Becker B.;60;65;820;737;6;3;6;2;;;;;;;2;0;1,72;2;1,8;1,95;1,73;2;1,79;2,16;1,8;2
Thailand Open;02/10/2010;ATP250;Hard;Semifinals;Garcia-Lopez G.;Nadal R.;53;1;900;12025;2;6;7;6;6;3;;;;;2;1;12;1,02;10;1,03;9;1,04;18,5;1,03;13;1,02
Thailand Open;03/10/2010;ATP250;Hard;The Final;Garcia-Lopez G.;Nieminen J.;53;60;900;820;6;4;3;6;6;4;;;;;2;1;2,2;1,66;2;1,75;2;1,73;2,35;1,68;2,1;1,73
Proton Malaysian Open;27/09/2010;ATP250;Hard;1st Round;Giraldo S.;Przysiezny M.;62;89;795;606;7;6;6;1;;;;;;;2;0;1,53;2,37;1,5;2,45;1,53;2,38;1,64;2,45;1,44;2,63
Proton Malaysian Open;27/09/2010;ATP250;Hard;1st Round;Anderson K.;Falla A.;64;75;752;685;6;1;3;6;7;5;;;;;2;1;1,53;2,37;1,6;2,25;1,62;2,2;1,58;2,56;1,57;2,25
Proton Malaysian Open;27/09/2010;ATP250;Hard;1st Round;Stakhovsky S.;Russell M.;31;86;1254;621;2;6;7;6;6;3;;;;;2;1;1,25;3,75;1,35;3;1,33;3,25;1,31;3,88;1,33;3
Proton Malaysian Open;27/09/2010;ATP250;Hard;1st Round;Golubev A.;Lu Y.H.;41;44;1080;1043;7;5;6;2;;;;;;;2;0;1,57;2,25;1,6;2,25;1,62;2,2;1,69;2,33;1,73;2
Proton Malaysian Open;27/09/2010;ATP250;Hard;1st Round;Bhambri Y.;Si Y.M.;532;N/A;48;N/A;6;2;6;0;;;;;;;2;0;1,12;5,5;1,15;5;1,14;5;1,2;5,29;1,2;4
Proton Malaysian Open;28/09/2010;ATP250;Hard;1st Round;Dolgopolov O.;Recouderc L.;55;207;872;239;6;3;6;1;;;;;;;2;0;1,22;4;1,25;3,7;1,25;3,75;1,36;3,49;1,25;3,5
Proton Malaysian Open;28/09/2010;ATP250;Hard;1st Round;Andreev I.;Soeda G.;102;104;540;534;6;1;6;4;;;;;;;2;0;1,38;2,87;1,4;2,8;1,4;2,75;1,45;3,05;1,44;2,63
Proton Malaysian Open;28/09/2010;ATP250;Hard;1st Round;Raonic M.;Kunitsyn I.;237;105;198;520;7;6;6;3;;;;;;;2;0;2;1,72;2,15;1,65;2,25;1,57;2,04;1,88;2,38;1,53
Proton Malaysian Open;28/09/2010;ATP250;Hard;1st Round;Baghdatis M.;Nishikori K.;18;123;2030;452;6;1;6;1;;;;;;;2;0;1,3;3,4;1,3;3,3;1,36;3;1,39;3,33;1,36;2,88
Proton Malaysian Open;29/09/2010;ATP250;Hard;1st Round;Istomin D.;Ilhan M.;43;96;1051;577;2;6;6;3;6;4;;;;;2;1;1,2;4,33;1,3;3,3;1,29;3,5;1,26;4,48;1,22;3,75
Proton Malaysian Open;29/09/2010;ATP250;Hard;1st Round;Roger-Vasselin E.;Cermak F.;106;N/A;517;N/A;6;0;6;4;;;;;;;2;0;1,14;5;1,16;4,75;1,17;4,5;1,16;6,35;1,2;4
Proton Malaysian Open;29/09/2010;ATP250;Hard;1st Round;Ferrer D.;Tomic B.;11;218;3135;224;6;3;6;4;;;;;;;2;0;1,08;7;1,08;7;1,11;6;1,1;9,05;1,13;5,5
Proton Malaysian Open;29/09/2010;ATP250;Hard;2nd Round;Youzhny M.;Dolgopolov O.;9;55;3295;872;6;1;5;7;7;5;;;;;2;1;1,36;3;1,4;2,8;1,4;2,75;1,4;3,3;1,33;3
Proton Malaysian Open;29/09/2010;ATP250;Hard;2nd Round;Raonic M.;Stakhovsky S.;237;31;198;1254;6;7;7;6;6;3;;;;;2;1;3;1,36;2,8;1,4;3;1,36;3,58;1,35;3;1,33
Proton Malaysian Open;29/09/2010;ATP250;Hard;2nd Round;Baghdatis M.;Giraldo S.;18;62;2030;795;7;5;7;5;;;;;;;2;0;1,2;4,33;1,2;4,25;1,17;4,5;1,24;4,64;1,17;4,5
Proton Malaysian Open;29/09/2010;ATP250;Hard;2nd Round;Andreev I.;Davydenko N.;102;6;540;4150;7;6;5;7;6;3;;;;;2;1;3,75;1,25;3,3;1,3;3,5;1,29;4,01;1,3;3;1,33
Proton Malaysian Open;30/09/2010;ATP250;Hard;2nd Round;Golubev A.;Anderson K.;41;64;1080;752;6;4;7;6;;;;;;;2;0;1,8;1,9;1,9;1,85;1,91;1,8;1,88;2,06;1,83;1,83
Proton Malaysian Open;30/09/2010;ATP250;Hard;2nd Round;Berdych T.;Istomin D.;7;43;3760;1051;6;4;6;3;;;;;;;2;0;1,33;3,25;1,4;2,8;1,33;3,25;1,4;3,26;1,4;2,75
Proton Malaysian Open;30/09/2010;ATP250;Hard;2nd Round;Soderling R.;Roger-Vasselin E.;5;106;4910;517;6;0;6;1;;;;;;;2;0;1,06;8;1,08;6,75;1,05;8,5;1,08;10,81;1,08;6,5
Proton Malaysian Open;30/09/2010;ATP250;Hard;2nd Round;Ferrer D.;Bhambri Y.;11;532;3135;48;6;2;6;2;;;;;;;2;0;1,02;12;1,03;10;1,02;11;1,03;19;1,04;9
Proton Malaysian Open;01/10/2010;ATP250;Hard;Quarterfinals;Andreev I.;Raonic M.;102;237;540;198;6;1;3;6;6;3;;;;;2;1;1,4;2,75;1,4;2,8;1,44;2,63;1,56;2,65;1,4;2,88
Proton Malaysian Open;01/10/2010;ATP250;Hard;Quarterfinals;Youzhny M.;Baghdatis M.;9;18;3295;2030;6;7;7;5;6;1;;;;;2;1;1,66;2,1;1,68;2,1;1,67;2,1;1,76;2,2;1,62;2,25
Proton Malaysian Open;01/10/2010;ATP250;Hard;Quarterfinals;Ferrer D.;Berdych T.;11;7;3135;3760;4;6;7;5;6;4;;;;;2;1;2,2;1,61;2,05;1,72;2,1;1,67;2,25;1,73;2,1;1,73
Proton Malaysian Open;01/10/2010;ATP250;Hard;Quarterfinals;Golubev A.;Soderling R.;41;5;1080;4910;6;3;6;2;;;;;;;2;0;6,5;1,1;5;1,14;5;1,14;7,43;1,13;6,5;1,1
Proton Malaysian Open;02/10/2010;ATP250;Hard;Semifinals;Youzhny M.;Andreev I.;9;102;3295;540;3;6;6;0;6;2;;;;;2;1;1,28;3,5;1,35;3;1,33;3,25;1,31;3,86;1,33;3,25
Proton Malaysian Open;02/10/2010;ATP250;Hard;Semifinals;Golubev A.;Ferrer D.;41;11;1080;3135;7;5;7;6;;;;;;;2;0;2,75;1,4;3;1,35;2,75;1,4;2,82;1,51;2,63;1,5
Proton Malaysian Open;03/10/2010;ATP250;Hard;The Final;Youzhny M.;Golubev A.;9;41;3295;1080;6;7;6;2;7;6;;;;;2;1;1,53;2,5;1,55;2,35;1,5;2,5;1,69;2,34;1,53;2,5
China Open;04/10/2010;ATP500;Hard;1st Round;Isner J.;Yang T.H.;22;276;1715;164;7;6;6;3;;;;;;;2;0;1,06;8;1,04;9;1,07;7,5;1,06;12,5;1,05;9
China Open;04/10/2010;ATP500;Hard;1st Round;Fish M.;Tipsarevic J.;19;34;1946;1195;6;2;7;6;;;;;;;2;0;1,8;1,9;1,9;1,85;1,83;1,83;1,78;2,18;1,73;2
China Open;04/10/2010;ATP500;Hard;1st Round;Berrer M.;Berdych T.;51;7;917;3760;4;6;7;5;6;4;;;;;2;1;4,5;1,16;4,25;1,2;4,33;1,2;5,3;1,2;4;1,2
China Open;04/10/2010;ATP500;Hard;1st Round;Simon G.;Querrey S.;43;21;1055;1795;6;3;3;6;6;2;;;;;2;1;1,61;2,2;1,65;2,1;1,73;2;1,7;2,31;1,57;2,25
China Open;04/10/2010;ATP500;Hard;1st Round;Kohlschreiber P.;Verdasco F.;32;9;1215;3330;6;2;7;5;;;;;;;2;0;2,2;1,61;2;1,75;2,2;1,62;2,3;1,71;2,25;1,57
China Open;05/10/2010;ATP500;Hard;1st Round;Dolgopolov O.;Baghdatis M.;56;18;872;2030;6;4;6;4;;;;;;;2;0;2,75;1,4;2,6;1,45;2,63;1,44;2,53;1,6;2,5;1,5
China Open;05/10/2010;ATP500;Hard;1st Round;Ferrer D.;Istomin D.;11;44;3135;1051;6;4;6;1;;;;;;;2;0;1,33;3,25;1,35;3;1,36;3;1,38;3,41;1,36;2,88
China Open;05/10/2010;ATP500;Hard;1st Round;Murray A.;Mathieu P.H.;4;107;5035;504;6;2;6;3;;;;;;;2;0;1,12;5,5;1,16;4,75;1,13;5,5;1,17;6,04;1,17;4,5
China Open;05/10/2010;ATP500;Hard;1st Round;Almagro N.;Kubot L.;16;64;2150;790;7;5;6;2;;;;;;;2;0;1,28;3,5;1,3;3,3;1,29;3,5;1,37;3,46;1,25;3,5
China Open;05/10/2010;ATP500;Hard;1st Round;Djokovic N.;Gong M.X.;2;356;7145;111;6;1;6;3;;;;;;;2;0;1,005;21;1,01;15;1,01;17;1,02;32;1,01;19
China Open;05/10/2010;ATP500;Hard;1st Round;Cilic M.;Bellucci T.;14;27;2540;1455;6;2;6;2;;;;;;;2;0;1,33;3,25;1,3;3,3;1,33;3,25;1,35;3,58;1,33;3
China Open;05/10/2010;ATP500;Hard;1st Round;Lu Y.H.;Marchenko I.;45;72;1043;686;6;4;7;6;;;;;;;2;0;2;1,72;1,8;1,95;1,83;1,83;2,04;1,88;1,83;1,83
China Open;05/10/2010;ATP500;Hard;1st Round;Montanes A.;Golubev A.;24;33;1610;1210;6;2;3;0;;;;;;;1;0;2,1;1,66;2,15;1,65;2;1,73;2,25;1,74;2,2;1,62
China Open;05/10/2010;ATP500;Hard;1st Round;Ljubicic I.;Youzhny M.;17;8;2120;3500;6;3;7;6;;;;;;;2;0;3;1,36;3,3;1,3;3;1,36;3,31;1,39;3;1,33
China Open;05/10/2010;ATP500;Hard;1st Round;Soderling R.;Robredo T.;5;42;4910;1075;4;6;6;1;6;4;;;;;2;1;1,2;4,33;1,2;4,25;1,22;4;1,27;4,26;1,22;3,75
China Open;05/10/2010;ATP500;Hard;1st Round;Davydenko N.;Mayer F.;6;47;3945;978;6;3;6;4;;;;;;;2;0;1,3;3,4;1,35;3;1,33;3,25;1,37;3,46;1,33;3
China Open;06/10/2010;ATP500;Hard;2nd Round;Simon G.;Berrer M.;43;51;1055;917;6;7;6;4;7;6;;;;;2;1;1,25;3,75;1,3;3,3;1,25;3,75;1,28;4,22;1,25;3,5
China Open;06/10/2010;ATP500;Hard;2nd Round;Isner J.;Kohlschreiber P.;22;32;1715;1215;7;6;3;6;6;3;;;;;2;1;2,1;1,66;2,15;1,65;2,1;1,67;2,13;1,83;2,2;1,62
China Open;06/10/2010;ATP500;Hard;2nd Round;Davydenko N.;Cilic M.;6;14;3945;2540;7;5;7;5;;;;;;;2;0;2;1,72;1,85;1,9;2;1,73;2,18;1,78;1,91;1,8
China Open;06/10/2010;ATP500;Hard;2nd Round;Djokovic N.;Fish M.;2;19;7145;1946;;;;;;;;;;;;;1,22;4;1,25;3,75;1,29;3,5;1,26;4,39;1,22;3,75
China Open;07/10/2010;ATP500;Hard;2nd Round;Ferrer D.;Lu Y.H.;11;45;3135;1043;6;3;3;6;6;1;;;;;2;1;1,14;5;1,2;4,25;1,17;4,5;1,19;5,53;1,22;3,75
China Open;07/10/2010;ATP500;Hard;2nd Round;Soderling R.;Almagro N.;5;16;4910;2150;7;5;4;6;6;3;;;;;2;1;1,28;3,5;1,3;3,3;1,29;3,5;1,4;3,28;1,36;3
China Open;07/10/2010;ATP500;Hard;2nd Round;Murray A.;Montanes A.;4;24;5035;1610;7;5;6;3;;;;;;;2;0;1,06;8;1,08;6,75;1,06;8;1,1;9,05;1,05;8
China Open;07/10/2010;ATP500;Hard;2nd Round;Ljubicic I.;Dolgopolov O.;17;56;2120;872;6;3;7;6;;;;;;;2;0;1,57;2,25;2,05;1,72;2;1,73;2;1,93;1,57;2,38
China Open;08/10/2010;ATP500;Hard;Quarterfinals;Djokovic N.;Simon G.;2;43;7145;1055;6;3;6;2;;;;;;;2;0;1,2;4,33;1,22;4;1,22;4;1,26;4,42;1,25;3,75
China Open;08/10/2010;ATP500;Hard;Quarterfinals;Isner J.;Davydenko N.;22;6;1715;3945;7;6;6;4;;;;;;;2;0;2,37;1,53;2,15;1,65;2,38;1,53;2,41;1,65;2,25;1,62
China Open;08/10/2010;ATP500;Hard;Quarterfinals;Ferrer D.;Soderling R.;11;5;3135;4910;6;2;6;4;;;;;;;2;0;2,62;1,44;2,35;1,55;2,38;1,53;2,6;1,57;2,38;1,57
China Open;08/10/2010;ATP500;Hard;Quarterfinals;Ljubicic I.;Murray A.;17;4;2120;5035;6;3;6;2;;;;;;;2;0;6;1,11;5;1,14;5;1,14;6,19;1,17;5,5;1,14
China Open;09/10/2010;ATP500;Hard;Semifinals;Djokovic N.;Isner J.;2;22;7145;1715;7;6;6;2;;;;;;;2;0;1,22;4;1,25;3,75;1,29;3,5;1,27;4,26;1,25;3,75
China Open;09/10/2010;ATP500;Hard;Semifinals;Ferrer D.;Ljubicic I.;11;17;3135;2120;6;4;4;6;6;4;;;;;2;1;1,38;2,87;1,4;2,8;1,44;2,63;1,44;3,06;1,4;2,88
China Open;10/10/2010;ATP500;Hard;The Final;Djokovic N.;Ferrer D.;2;11;7145;3135;6;2;6;4;;;;;;;2;0;1,25;4;1,25;3,75;1,25;3,75;1,28;4,22;1,25;3,75
Rakuten Japan Open Tennis Championships;04/10/2010;ATP500;Hard;1st Round;Gimeno-Traver D.;Schwank E.;118;57;458;868;6;4;6;4;;;;;;;2;0;1,53;2,37;1,55;2,35;1,5;2,5;1,63;2,46;1,44;2,63
Rakuten Japan Open Tennis Championships;04/10/2010;ATP500;Hard;1st Round;Lopez F.;Del Potro J.M.;23;36;1685;1170;6;3;6;0;;;;;;;2;0;2,25;1,57;2;1,75;2,25;1,57;2,86;1,49;2,2;1,62
Rakuten Japan Open Tennis Championships;04/10/2010;ATP500;Hard;1st Round;Tursunov D.;Gulbis E.;432;25;83;1540;6;3;6;4;;;;;;;2;0;4,33;1,2;4;1,22;4;1,22;4,76;1,24;3,5;1,25
Rakuten Japan Open Tennis Championships;04/10/2010;ATP500;Hard;1st Round;Stepanek R.;Falla A.;37;73;1145;685;2;6;7;6;7;6;;;;;2;1;1,5;2,5;1,45;2,6;1,44;2,63;1,55;2,68;1,44;2,63
